62,61,255,128,665,604
57,56,255,123,606,666
248,1,254,664,668,667
254,157,248,616,618,667
37,36,238,103,565,507
254,1,0,668,67,615
31,30,253,97,579,669
35,34,253,101,670,577
215,141,197,671,436,420
15,14,205,81,402,672
194,141,215,432,671,662
13,12,206,79,521,673
28,27,234,94,585,495
143,142,250,275,675,674
250,186,143,556,676,674
171,20,19,677,86,375
64,63,245,130,639,532
209,214,199,678,448,404
250,142,225,675,545,573
205,148,15,459,679,672
249,196,260,559,681,680
202,211,50,446,682,425
230,43,42,683,109,661
44,230,163,684,484,356
44,43,230,110,683,684
222,227,175,584,476,685
261,58,57,687,124,686
261,255,61,689,665,688
175,174,222,327,462,685
57,255,261,666,689,686
47,220,195,690,452,430
18,200,213,692,454,691
213,172,18,461,693,691
14,13,201,80,378,401
204,52,51,386,118,694
244,12,11,520,78,626
48,47,212,114,431,412
162,161,260,303,696,695
260,196,162,681,643,695
191,204,51,434,694,409
260,161,249,696,697,680
148,16,15,280,82,679
20,171,137,677,354,299
162,46,45,645,112,309
214,209,140,678,400,460
13,206,168,673,389,377
177,221,176,455,651,328
246,261,61,699,688,698
61,60,246,127,529,698
58,261,246,687,699,531
236,5,4,617,71,501
236,237,7,497,654,613
185,187,183,343,581,648
211,51,50,408,117,682
229,223,10,701,700,513
258,253,34,703,670,702
34,33,258,100,628,702
31,253,258,669,703,631
47,46,220,113,646,690
49,48,208,115,413,457
161,165,249,487,704,697
223,11,10,625,77,700
18,17,200,84,371,692
229,174,176,482,325,705
216,50,49,424,116,458
176,223,229,652,701,705
231,39,38,706,105,491
147,17,16,370,83,281
40,39,231,106,706,620
172,19,18,374,85,693
134,136,249,263,554,707
249,165,134,704,307,707
262,228,4,709,500,708
262,156,158,711,292,710
158,228,262,479,709,710
4,156,262,552,711,708
194,217,173,663,647,361
243,143,186,713,676,712
186,185,243,345,515,712
54,143,243,574,713,546
