293,508,585,530,588,587
589,508,293,591,530,592
143,203,366,205,593,367
35,371,148,372,594,224
197,589,8,590,595,198
585,77,1,586,78,596
376,276,598,377,601,600
602,276,376,604,377,605
606,345,257,608,356,607
610,257,345,612,356,613
96,614,94,615,617,98
94,618,97,619,621,99
622,407,396,624,520,623
626,396,407,628,520,629
630,405,397,632,521,631
397,405,634,521,636,635
194,387,226,388,638,228
277,522,319,523,639,403
526,341,296,528,382,640
88,140,391,222,641,392
581,111,187,642,239,582
179,577,189,643,580,192
644,1,0,645,4,647
2,8,648,10,650,649
269,648,293,652,651,375
293,644,269,646,653,375
654,260,401,656,506,657
260,658,401,659,661,506
614,300,94,663,353,617
299,618,94,664,619,354
106,16,610,108,611,666
15,606,18,667,609,20
622,165,271,668,272,625
166,626,308,669,627,310
630,160,274,670,275,633
311,161,634,312,671,637
179,112,598,237,599,672
602,110,111,603,113,673
101,137,451,182,452,674
481,171,31,483,219,675
277,618,188,620,665,278
231,614,341,662,616,355
614,563,95,676,678,677
96,563,614,564,676,615
399,679,184,681,680,400
184,683,399,685,686,400
618,559,97,688,561,621
151,559,618,689,688,687
348,690,378,691,693,379
378,694,348,696,695,379
698,350,380,700,381,701
702,380,350,704,381,703
185,654,296,706,655,297
319,658,216,660,707,320
203,50,409,270,410,708
53,148,413,158,709,416
174,679,302,710,682,303
176,335,683,337,684,711
26,226,425,241,712,426
429,140,27,713,141,432
547,271,208,714,340,550
74,308,543,324,715,544
537,274,85,716,339,539
311,533,67,717,534,321
115,255,690,346,692,718
159,694,287,719,697,289
246,698,258,720,699,347
702,121,290,721,291,705
451,137,188,452,225,722
231,171,481,233,483,723
727,724,460,729,726,730
618,451,188,731,722,665
299,451,618,454,731,664
397,735,464,736,738,466
396,469,739,471,741,740
743,460,732,745,733,746
463,747,397,748,750,465
751,468,396,753,470,754
755,461,508,757,509,758
508,459,759,510,761,760
376,732,460,763,733,597
460,724,376,726,764,597
614,481,300,765,482,663
481,614,231,765,662,723
735,161,287,770,288,737
160,747,255,771,749,256
739,290,165,742,292,772
166,258,751,259,752,773
515,786,495,787,789,517
798,514,495,800,516,799
724,727,383,729,802,725
732,112,264,803,265,734
383,110,724,395,804,725
598,276,577,601,578,805
179,598,577,672,805,643
602,581,276,806,583,604
111,581,602,642,806,673
185,417,654,420,807,706
417,260,654,433,656,807
216,658,421,707,808,422
658,260,421,659,434,808
626,751,396,809,754,628
751,626,166,809,669,773
396,739,622,740,810,623
739,165,622,772,668,810
735,397,634,736,635,811
161,735,634,770,811,671
747,630,397,812,631,750
160,630,747,670,812,771
813,774,469,814,776,816
813,380,774,815,775,814
778,817,464,818,820,781
378,817,778,819,818,779
559,131,34,562,169,821
435,694,159,822,719,438
348,694,435,695,822,436
439,690,348,823,691,441
115,690,439,718,823,440
702,447,121,824,450,721
350,447,702,448,824,703
698,443,350,825,444,700
698,246,443,720,445,825
341,614,95,616,677,342
766,826,399,827,829,769
766,515,826,768,828,827
151,618,277,687,620,304
563,132,95,565,286,678
559,151,131,689,153,562
563,64,132,830,134,565
743,732,264,746,734,831
813,794,380,833,797,815
468,794,813,795,833,832
790,817,378,834,819,793
790,463,817,792,835,834
197,383,755,384,756,836
759,264,77,762,364,837
485,477,220,838,480,488
485,24,477,486,479,838
489,473,41,839,475,492
220,473,489,474,839,491
174,421,679,424,840,710
421,184,679,423,680,840
