0,1,2,3
203,277,257,202
1,4,219,6
23,206,263,31
226,314,324,227
295,322,319,213
319,43,41,323
281,242,264,265
4,217,1,219
215,223,283,221
266,29,289,135
4,309,217,219
328,309,254,329
321,249,195,178
28,18,268,20
41,305,317,306
228,310,104,168
215,317,199,316
89,112,94,55
70,55,81,54
317,197,199,316
185,182,160,211
254,232,301,234
261,258,274,280
292,271,140,270
184,249,326,190
245,285,308,244
297,298,225,299
189,167,183,149
191,293,224,235
235,125,289,170
185,157,210,160
227,298,299,225
13,138,7,205
275,175,173,179
191,293,174,193
265,276,242,306
219,328,309,217
224,225,299,304
252,7,281,9
265,242,305,306
274,261,312,259
308,328,254,253
316,199,215,283
301,232,172,234
7,252,11,9
40,317,215,41
309,328,254,308
283,316,199,197
320,274,256,257
254,328,329,270
19,27,128,26
321,287,236,239
97,34,282,275
274,312,257,320
305,242,198,197
249,331,236,321
13,252,11,7
268,328,219,292
281,264,9,265
293,266,304,289
288,46,86,47
88,123,47,48
20,268,26,142
175,275,173,282
285,245,308,300
326,204,207,320
204,327,326,207
297,325,24,299
236,311,331,249
325,24,299,30
172,302,234,296
298,227,299,315
125,235,289,293
326,320,311,330
255,251,204,327
264,272,9,265
326,249,311,312
225,226,314,303
65,62,92,101
254,328,270,253
157,159,210,160
316,215,41,294
331,187,159,287
68,64,78,62
249,195,331,321
272,264,9,269
236,331,159,287
304,325,299,224
325,297,24,332
180,251,204,255
261,274,312,280
34,33,282,275
331,311,195,249
251,180,156,181
282,97,275,173
190,184,251,326
34,14,33,275
223,215,283,294
304,325,224,289
328,292,217,219
320,326,311,312
300,0,5,4
305,198,317,197
311,330,184,326
249,184,326,311
0,285,308,300
185,189,310,186
321,195,187,178
236,249,321,239
23,206,307,263
305,264,242,265
187,188,321,178
13,7,263,205
292,268,270,142
317,40,305,41
187,159,287,211
224,193,293,191
293,125,266,289
332,22,24,29
172,182,296,160
276,197,242,306
197,305,242,306
168,310,104,186
274,257,277,256
319,40,215,41
327,190,251,326
251,255,181,327
312,274,257,280
197,316,317,306
168,310,301,228
292,26,268,142
189,104,310,186
41,215,319,323
280,279,277,257
255,251,181,180
41,294,215,323
330,251,184,326
187,331,195,321
266,22,332,29
292,328,271,270
206,263,13,307
2,285,0,5
197,317,305,306
327,204,255,207
215,294,316,283
186,168,301,302
224,293,304,289
159,160,287,211
5,285,0,300
325,266,29,289
328,268,329,270
325,29,24,30
304,193,293,224
257,274,277,280
29,24,332,325
310,168,301,186
328,292,268,270
29,332,266,325
43,41,57,42
39,58,40,42
62,56,77,78
77,56,62,101
55,52,53,112
55,53,52,54
67,62,63,68
63,62,67,92
52,47,83,123
83,47,52,288
67,55,80,94
67,80,55,81
